Telefon\zmienne;Ocena;Cena;Pamiec wbudowana;Pamiec RAM;Waga (g);bateria (mAh);Zegar procesora (Mhz);roznica kwartalow;Megapiksele;Marka;Kolor;Odcieñ;
Apple iphone 15 pro;8,34;5342;128;8;187;3274;3780;2;48;Apple;Bia³y;normalny;
Apple iphone 15 pro;8,34;5298;128;8;187;3274;3780;2;48;Apple;Niebieski;jasny;B³êkitny
Apple iphone 15 pro;8,34;5298;128;8;187;3274;3780;2;48;Apple;Czarny;normalny;
Apple iphone 15 pro;8,34;5344;128;8;187;3274;3780;2;48;Apple;Tytanowy;normalny;
Apple iphone 15 pro;8,34;8862;1000;8;187;3274;3780;2;48;Apple;Bia³y;normalny;
Apple iphone 15 pro;8,34;8069;1000;8;187;3274;3780;2;48;Apple;Niebieski;jasny;B³êkitny
Apple iphone 15 pro;8,34;8096;1000;8;187;3274;3780;2;48;Apple;Czarny;normalny;
Apple iphone 15 pro;8,34;8069;1000;8;187;3274;3780;2;48;Apple;Tytanowy;normalny;
Apple iphone 15 pro max;8,22;8675;1000;8;221;4422;3770;2;48;Apple;Czarny;normalny;
Apple iphone 15 pro max;8,22;9441;1000;8;221;4422;3770;2;48;Apple;Niebieski;jasny;B³êkitny
Apple iphone 15 pro max;8,22;9599;1000;8;221;4422;3770;2;48;Apple;Bia³y;normalny;
Apple iphone 15 pro max;8,22;8611;1000;8;221;4422;3770;2;48;Apple;Be¿owy;normalny;
Apple iphone 15 pro max;8,22;7349;512;8;221;4422;3770;2;48;Apple;Bia³y;normalny;
Apple iphone 15 pro max;8,22;7481;512;8;221;4422;3770;2;48;Apple;Niebieski;jasny;B³êkitny
Apple iphone 15 pro max;8,22;7523;512;8;221;4422;3770;2;48;Apple;Czarny;normalny;
Apple iphone 15 pro max;8,22;7462;512;8;221;4422;3770;2;48;Apple;Tytanowy;normalny;
Apple iphone 14 pro max;8,91;12156;1000;6;240;4323;3460;6;48;Apple;Czarny;normalny;
Apple iphone 14 pro max;8,91;7045;1000;6;240;4323;3460;6;48;Apple;Fioletowy;normalny;
Apple iphone 14 pro max;8,91;11457;1000;6;240;4323;3460;6;48;Apple;Srebrny;normalny;
Apple iphone 14 pro max;8,91;6987;1000;6;240;4323;3460;6;48;Apple;Z³oty;normalny;
SAMSUNG GALAXY S23;8,22;3168;256;8;167;3900;3360;4;50;Samsung;Czarny;normalny;
SAMSUNG GALAXY S23;8,22;3378;256;8;167;3900;3360;4;50;Samsung;Kremowy;normalny;
SAMSUNG GALAXY S23;8,22;3495;256;8;167;3900;3360;4;50;Samsung;Lawendowy;normalny;
SAMSUNG GALAXY S23;8,22;3379;256;8;167;3900;3360;4;50;Samsung;Zielony;normalny;
SAMSUNG GALAXY S23;8,22;2909;128;8;167;3900;3360;4;50;Samsung;Czarny;normalny;
SAMSUNG GALAXY S23;8,22;2998;128;8;167;3900;3360;4;50;Samsung;Kremowy;normalny;
SAMSUNG GALAXY S23;8,22;3076;128;8;167;3900;3360;4;50;Samsung;Lawendowy;normalny;
SAMSUNG GALAXY S23;8,22;2974;128;8;167;3900;3360;4;50;Samsung;Zielony;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;5999;1000;12;233;5000;3360;4;200;Samsung;Czarny;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;8699;1000;12;233;5000;3360;4;200;Samsung;Czerwony;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;8699;1000;12;233;5000;3360;4;200;Samsung;Niebieski;jasny;Jasnoniebieski
SAMSUNG GALAXY S23 ULTRA;6,49;8699;1000;12;233;5000;3360;4;200;Samsung;Zielony;jasny;Jasnozielony
SAMSUNG GALAXY S23 ULTRA;6,49;7699;1000;12;233;5000;3360;4;200;Samsung;Kremowy;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;7599;1000;12;233;5000;3360;4;200;Samsung;Lawendowy;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;6987;1000;12;233;5000;3360;4;200;Samsung;Szary;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;6988;1000;12;233;5000;3360;4;200;Samsung;Zielony;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;5337;512;12;233;5000;3360;4;200;Samsung;Czarny;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;7499;512;12;233;5000;3360;4;200;Samsung;Czerwony;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;5679;512;12;233;5000;3360;4;200;Samsung;Zielony;jasny;Jasnozielony
SAMSUNG GALAXY S23 ULTRA;6,49;5199;512;12;233;5000;3360;4;200;Samsung;Kremowy;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;5548;512;12;233;5000;3360;4;200;Samsung;Lawendowy;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;5472;512;12;233;5000;3360;4;200;Samsung;Zielony;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;4496;256;8;233;5000;3360;4;200;Samsung;Czarny;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Czerwony;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Niebieski;jasny;Jasnoniebieski
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Zielony;jasny;Jasnozielony
SAMSUNG GALAXY S23 ULTRA;6,49;4499;256;8;233;5000;3360;4;200;Samsung;Kremowy;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;4698;256;8;233;5000;3360;4;200;Samsung;Lawendowy;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Szary;normalny;
SAMSUNG GALAXY S23 ULTRA;6,49;4498;256;8;233;5000;3360;4;200;Samsung;Zielony;normalny;
SAMSUNG GALAXY A25;5,58;1699;256;8;197;4905;2400;1;50;Samsung;Czarny;normalny;
SAMSUNG GALAXY A25;5,58;1699;256;8;197;4905;2400;1;50;Samsung;Niebieski;normalny;
SAMSUNG GALAXY A25;5,58;1699;256;8;197;4905;2400;1;50;Samsung;¯ó³ty;normalny;
