Telefon\zmienne;Ocena;Cena;Pamiec wbudowana;Pamiec RAM;Waga (g);bateria (mAh);Zegar procesora (Mhz);roznica kwartalow;Megapiksele;Marka;Kolor
SAMSUNG GALAXY S23 ULTRA;6,49;5999;1000;12;233;5000;3360;4;200;Samsung;Czarny
SAMSUNG GALAXY S23 ULTRA;6,49;8699;1000;12;233;5000;3360;4;200;Samsung;Czerwony
SAMSUNG GALAXY S23 ULTRA;6,49;8699;1000;12;233;5000;3360;4;200;Samsung;Niebieski
SAMSUNG GALAXY S23 ULTRA;6,49;8699;1000;12;233;5000;3360;4;200;Samsung;Zielony
SAMSUNG GALAXY S23 ULTRA;6,49;7699;1000;12;233;5000;3360;4;200;Samsung;草速y
SAMSUNG GALAXY S23 ULTRA;6,49;7599;1000;12;233;5000;3360;4;200;Samsung;Czerwony
SAMSUNG GALAXY S23 ULTRA;6,49;6987;1000;12;233;5000;3360;4;200;Samsung;Srebrny
SAMSUNG GALAXY S23 ULTRA;6,49;6988;1000;12;233;5000;3360;4;200;Samsung;Zielony
SAMSUNG GALAXY S23 ULTRA;6,49;5337;512;12;233;5000;3360;4;200;Samsung;Czarny
SAMSUNG GALAXY S23 ULTRA;6,49;7499;512;12;233;5000;3360;4;200;Samsung;Czerwony
SAMSUNG GALAXY S23 ULTRA;6,49;5679;512;12;233;5000;3360;4;200;Samsung;Zielony
SAMSUNG GALAXY S23 ULTRA;6,49;5199;512;12;233;5000;3360;4;200;Samsung;草速y
SAMSUNG GALAXY S23 ULTRA;6,49;5548;512;12;233;5000;3360;4;200;Samsung;Czerwony
SAMSUNG GALAXY S23 ULTRA;6,49;5472;512;12;233;5000;3360;4;200;Samsung;Zielony
SAMSUNG GALAXY S23 ULTRA;6,49;4496;256;8;233;5000;3360;4;200;Samsung;Czarny
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Czerwony
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Niebieski
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Zielony
SAMSUNG GALAXY S23 ULTRA;6,49;4499;256;8;233;5000;3360;4;200;Samsung;草速y
SAMSUNG GALAXY S23 ULTRA;6,49;4698;256;8;233;5000;3360;4;200;Samsung;Czerwony
SAMSUNG GALAXY S23 ULTRA;6,49;6799;256;8;233;5000;3360;4;200;Samsung;Srebrny
SAMSUNG GALAXY S23 ULTRA;6,49;4498;256;8;233;5000;3360;4;200;Samsung;Zielony
SAMSUNG GALAXY A25;5,58;1699;256;8;197;4905;2400;1;50;Samsung;Czarny
SAMSUNG GALAXY A25;5,58;1699;256;8;197;4905;2400;1;50;Samsung;Niebieski
SAMSUNG GALAXY A25;5,58;1699;256;8;197;4905;2400;1;50;Samsung;草速y
SAMSUNG GALAXY A25;5,58;1349;128;6;197;4905;2400;1;50;Samsung;Czarny
SAMSUNG GALAXY A25;5,58;1349;128;6;197;4905;2400;1;50;Samsung;Niebieski
SAMSUNG GALAXY A25;5,58;1349;128;6;197;4905;2400;1;50;Samsung;草速y
SAMSUNG GALAXY S22 ULTRA;7,17;5299;128;8;229;5000;2800;8;108;Samsung;Bia造
SAMSUNG GALAXY S22 ULTRA;7,17;4499;128;8;229;5000;2800;8;108;Samsung;Czerwony
SAMSUNG GALAXY S22 ULTRA;7,17;5299;128;8;229;5000;2800;8;108;Samsung;Czarny
SAMSUNG GALAXY S22 ULTRA;7,17;5199;256;12;229;5000;2800;8;108;Samsung;Zielony
SAMSUNG GALAXY S22 ULTRA;7,17;5399;512;12;229;5000;2800;8;108;Samsung;Bia造
SAMSUNG GALAXY S22 ULTRA;7,17;6899;512;12;229;5000;2800;8;108;Samsung;Czerwony
SAMSUNG GALAXY S22 ULTRA;7,17;5999;512;12;229;5000;2800;8;108;Samsung;Czarny
SAMSUNG GALAXY S22 ULTRA;7,17;4699;512;12;229;5000;2800;8;108;Samsung;Zielony
Samsung Galaxy M34 5G;7,41;1069;128;6;208;6000;2400;2;50;Samsung;Niebieski
Samsung Galaxy M34 5G;7,41;1069;128;6;208;6000;2400;2;50;Samsung;Niebieski
Samsung Galaxy M34 5G;7,41;1079;128;6;208;6000;2400;2;50;Samsung;Srebrny
HONOR MAGIC5 LITE;7,34;1088;256;8;175;5100;2200;4;64;Huawei;Czarny
HONOR MAGIC5 LITE;7,34;1119;256;8;175;5100;2200;4;64;Huawei;Zielony
HONOR MAGIC5 LITE;7,34;999;128;6;175;5100;2200;4;64;Huawei;Czarny
HONOR MAGIC5 LITE;7,34;999;128;6;175;5100;2200;4;64;Huawei;Zielony
HUAWEI P60 PRO;8,01;4395;256;8;200;4815;3200;4;48;Huawei;Czarny
HUAWEI P60 PRO;8,01;4499;256;8;200;4815;3200;4;48;Huawei;Bia造
HUAWEI P60 PRO;8,01;4499;256;8;200;4815;3200;4;48;Huawei;Bia造
HUAWEI P60 PRO;8,01;4198;256;8;200;4815;3200;4;48;Huawei;Czerwony
HUAWEI P60 PRO;8,01;4198;256;8;200;4815;3200;4;48;Huawei;Niebieski
HUAWEI P60 PRO;8,01;4499;256;12;200;4815;3200;4;48;Huawei;Czarny
HUAWEI P60 PRO;8,01;4999;256;12;200;4815;3200;4;48;Huawei;Bia造
HUAWEI P60 PRO;8,01;4499;256;12;200;4815;3200;4;48;Huawei;Bia造
HUAWEI P60 PRO;8,01;4499;256;12;200;4815;3200;4;48;Huawei;Czerwony
HUAWEI P60 PRO;8,01;4499;256;12;200;4815;3200;4;48;Huawei;Niebieski
Huawei Mate 50 Pro;7,61;3299;256;8;209;4700;3200;6;50;Huawei;Czarny
Huawei Mate 50 Pro;7,61;5384;256;8;209;4700;3200;6;50;Huawei;Srebrny
HUAWEI NOVA Y70;6,5;1000;128;4;199;6000;2000;7;48;Huawei;Bia造
HUAWEI NOVA Y70;6,5;549;128;4;199;6000;2000;7;48;Huawei;Czarny
HUAWEI NOVA Y70;6,5;579;128;4;199;6000;2000;7;48;Huawei;Niebieski
Honor X7a;6,25;595;128;4;196;6000;2300;4;50;Huawei;Srebrny
Honor X7a;6,25;559;128;4;196;6000;2300;4;50;Huawei;Czarny
Honor X7a;6,25;621;128;4;196;6000;2300;4;50;Huawei;Niebieski
